Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P5- DOME Reg.,Not Use,P4- High Pressure Tank,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
42.949,-1.53,2.08,-7.83,0.00,-0.98,0.00,-3.25,95.76,20.97,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.28,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
43.949,-1.53,2.08,-7.97,0.00,-1.03,0.00,-3.25,95.76,20.97,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.28,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
44.949,-1.53,2.08,-8.03,0.00,-1.03,0.00,-3.25,95.76,20.97,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
45.949,-1.46,2.08,-8.93,0.00,-0.98,0.00,-3.25,95.76,20.97,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.30,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
46.950,-1.46,2.08,-8.81,0.00,-1.03,0.00,-3.25,95.76,20.97,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.28,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
47.950,-1.46,2.08,-8.81,0.00,-0.98,0.00,-3.25,95.76,20.97,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.28,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
48.950,-1.46,2.08,-8.77,0.00,-1.03,0.00,-3.25,95.76,20.97,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.79,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
49.950,-1.46,2.08,-8.77,0.00,-1.03,0.00,-3.25,95.76,20.97,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
50.950,-1.46,2.08,-8.77,0.00,-0.98,0.00,-3.25,95.67,20.92,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
51.950,-1.53,2.08,-8.77,0.00,-1.03,0.00,-3.25,95.76,20.92,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,1.29,4.78,1119.58,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
