Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P5- DOME Reg.,Not Use,P4- High Pressure Tank,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
35.945,-1.72,0.87,0.69,0.00,-13.37,0.00,-20.55,-19.13,4.49,-2.27,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.89,0.85,40.82,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.69 °C,28.89 °C,28.79 °C,29.00 °C,28.79 °C,29.00 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
36.945,-1.76,0.87,0.69,0.00,-13.53,0.00,-20.74,-19.55,4.49,-2.27,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.89,0.85,48.45,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.89 °C,28.89 °C,28.79 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
37.946,-1.72,0.87,0.62,0.00,-13.37,0.00,-20.97,-19.23,4.42,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.85,40.82,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.79 °C,28.89 °C,28.89 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
38.947,-1.72,0.87,0.62,0.00,-13.37,0.00,-21.24,-18.95,4.49,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.85,40.82,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.79 °C,28.89 °C,28.89 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
39.947,-1.72,0.87,0.69,0.00,-13.48,0.00,-21.33,-18.86,4.49,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.85,48.45,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.89 °C,28.89 °C,28.89 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
40.947,-1.72,0.87,0.62,0.00,-13.53,0.00,-21.56,-18.86,4.53,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.85,48.45,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.79 °C,28.89 °C,28.89 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
41.947,-1.72,0.87,0.73,0.00,-9.27,0.00,-22.66,-19.55,4.78,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.85,-25.30,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.79 °C,28.89 °C,28.89 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
42.947,-1.72,0.87,0.73,0.00,-10.41,0.00,-22.66,-19.45,4.74,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,-17.67,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.89 °C,28.89 °C,28.79 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
43.947,-1.72,0.87,0.73,0.00,-10.83,0.00,-22.66,-19.36,4.74,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,0.13,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.89 °C,28.89 °C,28.79 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
44.947,-1.72,0.87,0.69,0.00,-11.08,0.00,-22.57,-19.04,4.62,-2.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.01,0.88,0.84,0.13,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30 °C,28.79 °C,28.89 °C,28.89 °C,28.89 °C,28.79 °C,28.89 °C,1369.68 °C,28.17 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
