Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P5- DOME Reg.,Not Use,Load Cell,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,High Press PT,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
53.086,7.48,-9.73,-14.53,0.00,-16.82,0.00,143.18,-31.72,-1.37,102.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.95,40.82,-2.48,0.00,0.00,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.89 °C,-100.00 °C,36.80 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
54.086,7.67,-9.73,-14.53,0.00,-16.23,0.00,143.03,-31.54,-1.42,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.95,40.82,-2.48,0.00,0.00,-3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.19 °C,-100.00 °C,36.70 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
55.086,7.92,-9.73,-14.53,0.00,-16.11,0.00,144.44,-31.45,-1.42,102.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.95,40.82,-2.48,0.00,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,37.09 °C,-100.00 °C,36.70 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
56.086,8.03,-9.77,-14.58,0.00,-16.07,0.00,142.96,-31.27,-1.42,102.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.94,40.82,-2.48,0.00,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.89 °C,-100.00 °C,36.70 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
57.086,8.42,-9.73,-14.67,0.00,-15.52,0.00,140.11,-31.54,-1.42,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.94,40.82,-2.48,0.00,0.00,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.99 °C,-100.00 °C,36.80 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
58.086,8.63,-9.73,-14.63,0.00,-16.18,0.00,136.58,-31.45,-1.46,102.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.94,40.82,-2.48,0.00,0.00,-4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,35.80 °C,-100.00 °C,36.89 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
59.089,8.88,-9.73,-14.67,0.00,-15.56,0.00,142.20,-31.45,-1.37,102.22,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.94,40.82,-2.48,0.00,0.00,-3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,36.39 °C,-100.00 °C,36.80 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
60.090,9.18,-9.73,-14.67,0.00,-16.07,0.00,142.88,-31.45,-1.37,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.94,40.82,-2.48,0.00,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,37.99 °C,-100.00 °C,36.89 °C,36.60 °C,36.70 °C,13.88 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
61.090,9.77,-9.73,-14.67,0.00,-13.62,0.00,137.15,-31.36,-1.37,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.94,40.82,-2.48,0.00,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,37.89 °C,-100.00 °C,36.70 °C,36.60 °C,36.70 °C,13.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
62.090,9.98,-9.73,-14.67,0.00,-14.58,0.00,142.46,-31.27,-1.37,102.26,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,1.50,0.93,40.82,-2.48,0.00,0.00,-3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00 °C,-100.00 °C,38.69 °C,-100.00 °C,36.70 °C,36.60 °C,36.70 °C,13.88 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
