Time (s),MV FUEL PT,MV FUEL PT,P1 - Chamber Pressure,Not Used,High Press,Not Use,Load Cell,CHAMBER,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,LOX TANK SFT ,FUEL TANK SFT ,DOME SET SFT,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
20.583,-1.08,8.38,-1.92,0.00,3.66,0.00,-4.14,-2.01,-3.57,-2.08,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.74,1.69,0.13,-2.48,0.00,0.00,3.01,7.21,4.28,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.19 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
21.583,-1.08,8.38,-1.88,0.00,3.66,0.00,-4.14,-2.01,-3.52,-2.08,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.68,-50.73,-2.48,0.00,0.00,3.01,7.21,4.28,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.19 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
22.583,-1.08,8.38,-1.83,0.00,3.66,0.00,-4.26,-2.01,-3.66,-2.13,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.69,-43.10,-2.48,0.00,0.00,3.01,7.21,4.28,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.00 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
23.583,-1.08,8.38,-1.97,0.00,3.66,0.00,-4.14,-2.01,-3.62,-2.08,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.69,-43.10,-2.48,0.00,0.00,3.01,7.21,4.28,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,32.90 °C,33.00 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
24.583,-1.08,8.42,-2.08,0.00,4.35,0.00,-4.14,-2.01,-3.62,-2.01,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.68,-32.93,-2.48,0.00,0.00,3.01,7.21,3.98,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,33.00 °C,33.00 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
25.583,-1.08,8.42,-2.63,0.00,3.66,0.00,-4.07,-2.01,-3.57,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.69,-32.93,-2.48,0.00,0.00,3.01,7.21,4.28,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.00 °C,32.90 °C,33.09 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
26.583,-1.08,8.42,-2.52,0.00,3.66,0.00,-3.72,-2.01,-3.57,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.69,-25.30,-2.48,0.00,0.00,3.01,7.21,3.98,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.00 °C,32.90 °C,33.09 °C,32.90 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
27.583,-1.08,8.42,-2.43,0.00,3.66,0.00,-3.84,-2.01,-3.52,-2.13,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.69,-25.30,-2.48,0.00,0.00,3.01,7.21,3.98,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.09 °C,32.90 °C,33.09 °C,33.00 °C,33.09 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
28.584,-1.03,8.42,-2.31,0.00,3.66,0.00,-3.84,-2.01,-3.52,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.68,-17.67,-2.48,0.00,0.00,3.01,7.21,4.28,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.00 °C,33.00 °C,33.19 °C,32.90 °C,33.00 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
29.585,-1.08,8.42,-2.27,0.00,3.66,0.00,-3.84,-2.01,-3.52,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.73,1.69,-17.67,-2.48,0.00,0.00,3.01,7.21,4.28,0.00,0.00,0.00,0.00,0.00,33.00 °C,33.00 °C,33.00 °C,33.00 °C,33.19 °C,32.90 °C,33.00 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
