Time (s),MV FUEL PT,MV FUEL PT,P1 - Chamber Pressure,Not Used,High Press,Not Use,Load Cell,CHAMBER,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,LOX TANK SFT ,FUEL TANK SFT ,DOME SET SFT,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
19.387,-1.08,8.13,-0.57,0.00,-1.84,0.00,-7.14,-1.67,0.69,-0.48,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.70,1.65,0.13,-2.48,0.00,0.00,73.35,56.91,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.79 °C,30.79 °C,30.79 °C,30.90 °C,30.79 °C,30.90 °C,22.89 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
20.387,-1.08,8.13,-0.78,0.00,-1.84,0.00,-6.23,-1.67,0.73,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.70,1.66,0.13,-2.48,0.00,0.00,73.12,57.13,2.78,0.00,0.00,0.00,0.00,0.00,30.90 °C,30.79 °C,31.00 °C,30.79 °C,30.90 °C,30.79 °C,30.90 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
21.387,-1.03,8.13,-0.78,0.00,-1.84,0.00,-6.80,-1.67,0.02,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.70,1.66,0.13,-2.48,0.00,0.00,73.12,57.13,2.78,0.00,0.00,0.00,0.00,0.00,30.90 °C,30.79 °C,30.79 °C,30.79 °C,31.39 °C,30.79 °C,30.90 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
22.387,-1.08,8.13,0.43,0.00,-1.84,0.00,-7.98,-1.67,-0.02,-0.27,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.82,1.78,0.13,-2.48,0.00,0.00,73.12,57.13,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.79 °C,30.79 °C,30.79 °C,30.90 °C,30.79 °C,30.79 °C,22.99 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
23.387,-1.03,8.13,0.43,0.00,-1.84,0.00,-7.64,-1.67,0.14,-0.27,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.82,1.77,0.13,-2.48,0.00,0.00,72.90,57.13,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.79 °C,30.90 °C,30.79 °C,31.00 °C,30.79 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
24.387,-1.03,8.13,-0.23,0.00,-1.84,0.00,-7.41,-1.63,0.18,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.80,1.76,0.13,-2.48,0.00,0.00,72.90,57.36,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.79 °C,30.79 °C,30.79 °C,30.90 °C,30.79 °C,30.90 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
25.387,-1.03,8.17,-0.11,0.00,-1.84,0.00,-7.48,-1.67,0.23,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.79,1.75,0.13,-2.48,0.00,0.00,72.90,57.36,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.79 °C,30.79 °C,30.69 °C,30.90 °C,30.79 °C,30.90 °C,22.89 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
26.388,-1.03,8.17,-0.18,0.00,-1.84,0.00,-7.22,-1.67,0.27,-0.98,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.79,1.74,0.13,-2.48,0.00,0.00,72.90,57.36,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.90 °C,30.79 °C,30.79 °C,30.79 °C,30.79 °C,30.79 °C,22.99 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
27.389,-1.03,8.17,-0.23,0.00,-1.84,0.00,-7.56,-1.63,0.37,-1.37,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.78,1.74,0.13,-2.48,0.00,0.00,72.67,57.36,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.79 °C,30.79 °C,30.79 °C,31.00 °C,30.69 °C,30.79 °C,22.78 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
28.389,-1.03,8.17,-0.18,0.00,-1.84,0.00,-7.56,-1.63,0.32,-0.98,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.77,1.73,0.13,-2.48,0.00,0.00,72.67,57.66,2.78,0.00,0.00,0.00,0.00,0.00,30.79 °C,30.79 °C,30.79 °C,30.79 °C,31.00 °C,30.79 °C,30.79 °C,22.89 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
